episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,999,50.075679779052734,0.830991917236655,,max_step
1,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,868,17.070241928100586,0.4717759911243456,,out_of_road
2,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,16.942407608032227,0.29853117220522835,,max_step
3,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,15.033777236938477,0.26748252772912384,,max_step
4,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,13.069108009338379,0.16905582969007082,,max_step
5,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,649,0.5334959030151367,0.1809131324876714,,out_of_road
6,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,15.166967391967773,0.2032167349611409,,max_step
7,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,871,1.2038893699645996,0.11223326824994674,,out_of_road
8,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,18.49162483215332,0.17716531244362704,,max_step
9,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,334,5.712865352630615,0.446171290570212,,out_of_road
10,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,553,2.5482797622680664,0.1558140982582384,,out_of_road
11,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,769,7.8925065994262695,0.14018965228151903,,out_of_road
12,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,483,-1.8078742027282715,0.12042445083357023,,out_of_road
13,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,647,2.2237043380737305,0.1766852810341934,,out_of_road
14,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,19.205007553100586,0.19039967034338043,,max_step
15,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,949,14.604022979736328,0.24628034848533376,,out_of_road
16,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,2,7.946119785308838,7.254819869995117,,arrive_dest
17,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,192,-4.1848649978637695,0.0014478223456535488,,out_of_road
18,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,8.728862762451172,0.08964055783837102,,max_step
19,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,886,6.67268180847168,0.1108584724759271,,out_of_road
20,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,13.985227584838867,0.2096345469597727,,max_step
21,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,50,9.045568466186523,2.486391067504883,,arrive_dest
22,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,211,1.0319409370422363,0.16232481670358453,,out_of_road
23,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,339,0.8635516166687012,0.06548073422361185,,out_of_road
24,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,391,8.023097038269043,0.32777775948405113,,out_of_road
25,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,717,11.378020286560059,0.23733681983170274,,out_of_road
26,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,973,23.8437442779541,0.27042412001281624,,out_of_road
27,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,202,-2.3524065017700195,0.01656684984849526,,out_of_road
28,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,468,6.238448143005371,0.21440963712212446,,out_of_road
29,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,711,14.422740936279297,0.22960067680171062,,out_of_road
30,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,208,1.3973755836486816,0.17147300677159086,,out_of_road
31,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,28,6.360743999481201,2.501307249069214,,arrive_dest
32,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,62,-0.004209280014038086,0.06612835475994695,,out_of_road
33,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,164,0.9027681350708008,0.1181414034444748,,out_of_road
34,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,171,1.0518736839294434,0.09489709758118056,,out_of_road
35,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,216,0.7753756046295166,0.09432857674848358,,out_of_road
36,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,158,3.489502191543579,0.24302505950525968,,out_of_road
37,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,243,-0.3900325298309326,0.028541248525519675,,out_of_road
38,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,20.884721755981445,0.1843465140266344,,max_step
39,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,34.57053756713867,0.35223753681289965,,max_step
40,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,347,1.363339900970459,0.03916122247424696,,out_of_road
41,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,262,-0.7753797769546509,0.009755224312961329,,out_of_road
42,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,853,14.462952613830566,0.12813925359519318,,out_of_road
43,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,39.377052307128906,0.3547117927405052,,max_step
44,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,63,1.8232407569885254,0.053851303481866446,,out_of_road
45,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,45.7232780456543,0.4147886974168941,,max_step
46,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,167,1.0504789352416992,0.030128455904875687,,out_of_road
47,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,33.6541748046875,0.23000714185927063,,max_step
48,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,36.414710998535156,0.2158955488661304,,max_step
49,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,364,10.366442680358887,0.14069569266304005,,out_of_road
50,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,40.77142333984375,0.250113075369969,,max_step
