episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,2,1,0,15.0,5.0,10.0,55.0,0,602,-0.5952959060668945,0.06662068616264682,,crash_vehicle
1,fresh,0,fresh,,,0,1,0,4,0,1,5.0,40.0,15.0,10.0,3,1000,9.653617858886719,0.17430644422397018,,max_step
2,fresh,0,fresh,,,0,0,0,5,0,1,10.0,5.0,15.0,55.0,0,1000,8.76578140258789,0.1074335419293493,,max_step
3,fresh,0,fresh,,,0,0,0,3,0,1,15.0,5.0,15.0,10.0,2,448,-0.9640750885009766,0.11903958223047084,,out_of_road
4,fresh,0,fresh,,,0,0,0,4,0,0,15.0,10.0,15.0,35.0,2,1000,12.132079124450684,0.17306105166347696,,max_step
5,fresh,0,fresh,,,0,0,0,5,1,1,10.0,10.0,15.0,55.0,1,845,8.662059783935547,0.23514261785508878,,out_of_road
6,fresh,0,fresh,,,0,0,0,2,0,1,5.0,10.0,10.0,35.0,1,693,3.111440658569336,0.18813909945437016,,out_of_road
7,fresh,0,fresh,,,0,0,0,18,1,0,5.0,20.0,10.0,55.0,3,567,2.212580680847168,0.16773564088925377,,out_of_road
8,fresh,0,fresh,,,0,1,0,5,0,0,10.0,20.0,10.0,35.0,2,1000,22.15410041809082,0.32170376962516456,,max_step
9,fresh,0,fresh,,,0,1,1,8,0,1,10.0,40.0,5.0,35.0,1,772,12.628358840942383,0.31758349921814905,,out_of_road
10,fresh,0,fresh,,,0,0,0,1,1,0,10.0,5.0,10.0,20.0,1,379,2.543898105621338,0.25994883804019336,,out_of_road
11,fresh,0,fresh,,,0,1,0,1,0,1,15.0,10.0,15.0,20.0,0,300,0.3725285530090332,0.1814678954395155,,out_of_road
12,fresh,0,fresh,,,0,0,0,3,1,0,20.0,40.0,10.0,55.0,3,1000,15.176080703735352,0.19188716949219817,,max_step
13,fresh,0,fresh,,,0,1,1,12,0,1,15.0,40.0,15.0,10.0,3,251,-0.1497020721435547,0.22606258431219484,,out_of_road
14,fresh,0,fresh,,,0,0,0,12,0,1,5.0,20.0,10.0,10.0,3,703,14.042190551757812,0.35399194073414225,,out_of_road
15,fresh,0,fresh,,,0,1,1,5,1,1,10.0,10.0,10.0,20.0,1,165,-0.19501781463623047,0.2565564246340232,,out_of_road
16,fresh,0,fresh,,,0,0,0,4,0,1,20.0,40.0,5.0,10.0,3,232,0.32890748977661133,0.29471253209490456,,out_of_road
