episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,1,fresh,,,0,0,0,2,1,0,15.0,5.0,10.0,55.0,0,542,22.122547149658203,0.6884535236251489,,crash_vehicle
1,fresh,3,fresh,,,0,1,0,4,0,1,5.0,40.0,15.0,10.0,3,1000,8.465473175048828,0.3235969709227793,,max_step
2,fresh,3,fresh,,,0,0,0,5,0,1,10.0,5.0,15.0,55.0,0,1000,9.00190258026123,0.19207148656900971,,max_step
3,fresh,6,fresh,,,0,0,0,18,0,1,15.0,5.0,15.0,10.0,2,1000,15.46762466430664,0.24399156398931518,,max_step
4,fresh,5,fresh,,,0,0,0,12,1,0,15.0,20.0,10.0,35.0,2,560,-4.6154327392578125,0.07776644828222093,,out_of_road
5,fresh,4,fresh,,,0,0,0,8,1,1,5.0,5.0,5.0,35.0,3,908,5.761178016662598,0.2803454575937094,,crash_vehicle
6,fresh,3,fresh,,,0,0,0,5,1,0,15.0,5.0,15.0,55.0,3,324,0.30191707611083984,0.17031772800341802,,crash_vehicle
7,fresh,2,fresh,,,0,0,0,3,1,1,20.0,20.0,5.0,35.0,0,707,-0.9768192768096924,0.10952676487151307,,out_of_road
8,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,17.429574966430664,0.2442320752060041,rejection_fallback,max_step
9,fresh,4,fresh,,,0,0,0,8,1,1,10.0,10.0,10.0,35.0,0,1000,17.80169105529785,0.20991002812236548,,max_step
10,fresh,1,fresh,,,0,0,0,2,1,0,20.0,40.0,5.0,55.0,2,643,7.405417442321777,0.2489150581312182,,crash_vehicle
11,fresh,1,fresh,,,0,1,0,2,0,1,20.0,20.0,5.0,35.0,2,1000,6.738130569458008,0.25621764807589353,,max_step
12,fresh,3,fresh,,,0,1,1,5,0,1,20.0,5.0,5.0,55.0,2,271,1.7041897773742676,0.1979730338188115,,crash_vehicle
13,fresh,0,fresh,,,0,1,1,0,1,0,5.0,20.0,10.0,20.0,0,547,6.081938743591309,0.22632096417016695,,out_of_road
14,fresh,3,fresh,,,0,0,0,4,1,0,15.0,20.0,10.0,35.0,1,1000,30.191570281982422,0.43233424254879355,,max_step
15,fresh,2,fresh,,,0,0,0,3,0,1,20.0,10.0,15.0,35.0,0,276,0.4416830539703369,0.10975431461238126,,out_of_road
16,fresh,3,fresh,,,0,1,1,5,0,1,20.0,20.0,5.0,55.0,3,1000,2.0360448360443115,0.0850071138991043,,max_step
17,fresh,1,fresh,,,0,1,0,2,1,0,10.0,20.0,10.0,35.0,0,281,7.287423133850098,0.4284357009090987,,out_of_road
18,fresh,0,fresh,,,0,0,0,0,0,0,20.0,5.0,10.0,10.0,0,1000,34.282142639160156,0.3855192418443039,,max_step
19,fresh,5,fresh,,,0,0,0,12,1,0,15.0,10.0,5.0,20.0,2,439,10.086714744567871,0.3782094842531551,,out_of_road
20,fresh,3,fresh,,,0,1,0,5,1,0,10.0,20.0,10.0,35.0,2,1000,5.658009052276611,0.09228711512172595,,max_step
21,fresh,6,fresh,,,0,1,1,18,1,1,20.0,10.0,10.0,20.0,2,1000,4.060451030731201,0.16484203404653816,,max_step
22,fresh,3,fresh,,,0,1,1,4,1,1,10.0,20.0,15.0,55.0,0,2,4.820664882659912,4.376591682434082,,arrive_dest
23,fresh,1,fresh,,,0,0,0,2,1,0,5.0,40.0,5.0,55.0,1,182,10.725101470947266,0.8167099162813399,,out_of_road
24,fresh,4,fresh,,,0,0,0,8,1,0,10.0,10.0,5.0,20.0,3,171,1.3488807678222656,0.17133023724918478,,out_of_road
25,fresh,5,fresh,,,0,0,0,12,0,0,10.0,5.0,10.0,10.0,1,614,15.678552627563477,0.3915861889694177,,crash_vehicle
