episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,1,fresh,,,0,0,0,2,1,0,15.0,5.0,10.0,55.0,0,602,-0.5952959060668945,0.06662068616264682,,crash_vehicle
1,fresh,3,fresh,,,0,1,0,4,0,1,5.0,40.0,15.0,10.0,3,1000,9.653617858886719,0.17430644422397018,,max_step
2,fresh,3,fresh,,,0,0,0,5,0,1,10.0,5.0,15.0,55.0,0,1000,8.76578140258789,0.1074335419293493,,max_step
3,fresh,2,fresh,,,0,0,0,3,0,1,15.0,5.0,15.0,10.0,2,448,-0.9640750885009766,0.11903958223047084,,out_of_road
4,fresh,3,fresh,,,0,0,0,4,0,0,15.0,10.0,15.0,35.0,2,1000,12.132079124450684,0.17306105166347696,,max_step
5,fresh,3,fresh,,,0,0,0,5,1,1,10.0,10.0,15.0,55.0,1,845,8.662059783935547,0.23514261785508878,,out_of_road
6,fresh,1,fresh,,,0,0,0,2,0,1,5.0,10.0,10.0,35.0,1,693,3.111440658569336,0.18813909945437016,,out_of_road
7,fresh,6,fresh,,,0,0,0,18,1,0,5.0,20.0,10.0,55.0,3,567,2.212580680847168,0.16773564088925377,,out_of_road
8,fresh,3,fresh,,,0,1,0,5,0,0,10.0,20.0,10.0,35.0,2,1000,22.15410041809082,0.32170376962516456,,max_step
9,fresh,4,fresh,,,0,1,1,8,0,1,10.0,40.0,5.0,35.0,1,772,12.628358840942383,0.31758349921814905,,out_of_road
10,fresh,0,fresh,,,0,0,0,1,1,0,10.0,5.0,10.0,20.0,1,379,2.543898105621338,0.25994883804019336,,out_of_road
11,fresh,0,fresh,,,0,1,0,1,0,1,15.0,10.0,15.0,20.0,0,300,0.3725285530090332,0.1814678954395155,,out_of_road
12,fresh,2,fresh,,,0,0,0,3,1,0,20.0,40.0,10.0,55.0,3,1000,15.176080703735352,0.19188716949219817,,max_step
13,fresh,5,fresh,,,0,1,1,12,0,1,15.0,40.0,15.0,10.0,3,251,-0.1497020721435547,0.22606258431219484,,out_of_road
14,fresh,5,fresh,,,0,0,0,12,0,1,5.0,20.0,10.0,10.0,3,703,14.042190551757812,0.35399194073414225,,out_of_road
15,fresh,3,fresh,,,0,1,1,5,1,1,10.0,10.0,10.0,20.0,1,165,-0.19501781463623047,0.2565564246340232,,out_of_road
16,fresh,3,fresh,,,0,0,0,4,0,1,20.0,40.0,5.0,10.0,3,232,0.32890748977661133,0.29471253209490456,,out_of_road
17,fresh,5,fresh,,,0,1,1,12,1,1,20.0,5.0,15.0,20.0,3,240,1.5416288375854492,0.24327829480171204,,crash_vehicle
18,fresh,1,fresh,,,0,0,0,2,1,1,10.0,20.0,10.0,35.0,2,926,22.56621551513672,0.38495736000918607,,out_of_road
19,fresh,5,fresh,,,0,1,0,12,1,1,20.0,10.0,10.0,20.0,3,388,6.3656206130981445,0.32233404872828575,,out_of_road
20,fresh,0,fresh,,,0,0,0,1,0,0,15.0,10.0,10.0,20.0,1,112,-3.233614206314087,0.14813721332965152,,out_of_road
21,fresh,1,fresh,,,0,1,1,2,1,1,5.0,40.0,10.0,55.0,1,1000,42.0361328125,0.5237929058922455,,max_step
22,fresh,2,fresh,,,0,1,1,3,1,0,15.0,5.0,10.0,35.0,0,89,-0.37268972396850586,0.20161195539377547,,crash_vehicle
23,fresh,6,fresh,,,0,1,0,18,0,0,10.0,5.0,5.0,10.0,1,243,1.106041431427002,0.21582233711862514,,out_of_road
24,fresh,2,fresh,,,0,1,1,3,1,0,5.0,40.0,15.0,55.0,0,395,10.563780784606934,0.48384684718249343,,out_of_road
25,fresh,2,fresh,,,0,1,0,3,0,0,20.0,20.0,5.0,20.0,2,460,14.903356552124023,0.5002452860383884,,out_of_road
26,replay,2,replay,,,0,1,0,3,0,0,20.0,20.0,5.0,20.0,2,319,5.128211975097656,0.3062641710440006,,out_of_road
27,fresh,3,fresh,,,0,0,0,5,1,1,10.0,5.0,5.0,35.0,0,1000,35.83839416503906,0.37346008872054515,,max_step
28,crossover,6,crossover,,select_lane|ego_on_intersection|intersection_has_cars|has_brake_checker|intersection_cars|has_cluster|cluster_dist,5,1,0,18,0,0,5.0,20.0,5.0,55.0,1,296,5.789715766906738,0.33613446290051013,,out_of_road
29,fresh,0,fresh,,,0,0,0,0,0,0,15.0,40.0,10.0,35.0,0,272,9.385475158691406,0.5220011372037012,,out_of_road
30,crossover,6,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars|maximum_distractor_speed|brake_dist,2,1,0,18,0,0,10.0,20.0,5.0,10.0,1,115,0.4490833282470703,0.3061913682066876,,out_of_road
31,fresh,3,fresh,,,0,1,0,4,1,1,20.0,20.0,10.0,35.0,0,193,3.653256416320801,0.3522052837371672,,out_of_road
32,crossover,2,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|has_brake_checker|maximum_distractor_speed|distance_to_nearest|brake_dist,0,1,1,3,1,0,5.0,40.0,15.0,55.0,0,268,4.161584854125977,0.41241400943262807,,out_of_road
33,fresh,0,fresh,,,0,1,0,1,0,0,15.0,20.0,15.0,10.0,1,171,0.23099708557128906,0.26685622053449615,,out_of_road
34,mutation,4,mutation,has_cluster,,0,1,1,8,0,1,10.0,40.0,5.0,35.0,1,695,27.935436248779297,0.5813712317496538,,out_of_road
35,fresh,3,fresh,,,0,0,0,5,0,1,20.0,10.0,5.0,55.0,1,413,8.26220703125,0.36159635179159716,,out_of_road
36,mutation,3,mutation,distractor_cars,,1,1,1,5,0,1,10.0,40.0,5.0,35.0,1,272,3.685145378112793,0.3151874841971542,,out_of_road
37,fresh,6,fresh,,,0,1,1,18,0,0,10.0,40.0,5.0,55.0,2,160,2.8497352600097656,0.43777248994447293,,out_of_road
38,crossover,2,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars|maximum_distractor_speed|distance_to_nearest|cluster_dist,5,0,0,3,0,0,20.0,40.0,10.0,20.0,3,382,14.253377914428711,0.545989321769064,,crash_vehicle
39,fresh,3,fresh,,,0,0,0,5,1,0,5.0,5.0,10.0,20.0,3,182,13.90937614440918,1.0986160008789418,,out_of_road
40,mutation,2,mutation,select_road|select_lane|ego_on_intersection|intersection_has_cars,,2,0,0,3,0,0,20.0,20.0,5.0,20.0,2,102,0.9759426116943359,0.5587523380915324,,out_of_road
41,fresh,4,fresh,,,0,1,1,8,1,0,20.0,20.0,10.0,55.0,1,257,2.1172542572021484,0.18701217676502024,,out_of_road
42,replay,4,replay,,,0,1,1,8,1,0,20.0,20.0,10.0,55.0,1,117,0.8928542137145996,0.3221411613317636,,out_of_road
43,fresh,6,fresh,,,0,0,0,18,0,0,5.0,40.0,15.0,55.0,3,468,9.6596040725708,0.30464044293492204,,out_of_road
44,mutation,5,mutation,intersection_cars,,1,1,0,12,1,1,20.0,10.0,10.0,20.0,1,50,-0.07219982147216797,0.22876103788614274,,crash_vehicle
45,fresh,3,fresh,,,0,1,0,5,0,0,5.0,5.0,15.0,35.0,3,65,-0.5361909866333008,0.08548482954502105,,crash_vehicle
46,replay,3,replay,,,0,1,0,5,0,0,5.0,5.0,15.0,35.0,3,349,13.580102920532227,0.549752465441268,,out_of_road
47,fresh,1,fresh,,,0,1,0,2,1,0,15.0,5.0,15.0,20.0,2,509,24.998760223388672,0.7926343738052021,,out_of_road
48,replay,1,replay,,,0,1,0,2,1,0,15.0,5.0,15.0,20.0,2,195,5.724780082702637,0.5379230920320902,,out_of_road
49,fresh,3,fresh,,,0,0,0,5,1,0,15.0,5.0,15.0,55.0,1,187,3.4194488525390625,0.4569363584094506,,out_of_road
50,replay,3,replay,,,0,0,0,5,1,0,15.0,5.0,15.0,55.0,1,193,12.668134689331055,1.0686423437322436,,out_of_road
51,fresh,6,fresh,,,0,1,0,18,0,0,10.0,20.0,15.0,55.0,1,136,2.1612067222595215,0.4034575208035462,,crash_vehicle
52,mutation,5,mutation,brake_dist,,0,1,0,12,1,1,20.0,10.0,10.0,20.0,3,156,2.38272762298584,0.2887298391821484,,out_of_road
53,fresh,2,fresh,,,0,0,0,3,1,0,5.0,5.0,10.0,35.0,2,79,0.33443355560302734,0.11060717881103105,,crash_vehicle
54,replay,2,replay,,,0,0,0,3,1,0,5.0,5.0,10.0,35.0,2,95,-0.09427547454833984,0.47293675630108306,,out_of_road
