episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,10.0,0,0,1,1,1,20.0,10.0,5.0,55.0,1,999,47.57988739013672,0.7053060899968739,,
1,fresh,0,fresh,,,0,5.0,0,0,1,1,0,15.0,20.0,15.0,55.0,1,1000,37.83484649658203,0.7091322154682129,,
2,fresh,6,fresh,,,0,15.0,1,1,18,0,0,10.0,40.0,5.0,55.0,3,1000,37.81056594848633,0.6756203185040504,,
3,fresh,6,fresh,,,0,20.0,1,0,18,1,0,20.0,5.0,10.0,55.0,3,306,1.923262596130371,0.6214811410876661,,unknown
4,fresh,4,fresh,,,0,10.0,0,0,8,1,1,15.0,40.0,15.0,55.0,2,1000,16.467199325561523,0.26180339986179024,,
5,fresh,6,fresh,,,0,15.0,0,0,18,0,0,10.0,5.0,10.0,55.0,1,335,0.3390522003173828,0.3472091929236455,,unknown
6,fresh,3,fresh,,,0,20.0,0,0,5,1,0,15.0,10.0,10.0,55.0,2,479,-0.19436311721801758,0.39785503362750707,,unknown
7,fresh,2,fresh,,,0,20.0,0,0,3,1,1,20.0,5.0,10.0,35.0,0,259,-1.0608985424041748,0.10426218019489156,,unknown
8,fresh,1,fresh,,,0,10.0,0,0,2,1,0,5.0,5.0,15.0,55.0,2,1000,14.436538696289062,0.11881853683618829,,
9,fresh,3,fresh,,,0,15.0,0,0,5,0,0,10.0,5.0,15.0,10.0,1,396,-2.739664077758789,0.13555243049484839,,unknown
10,fresh,3,fresh,,,0,15.0,1,0,4,1,0,20.0,5.0,10.0,20.0,1,338,-0.36161375045776367,0.12752517031715113,,unknown
11,fresh,4,fresh,,,0,20.0,1,0,8,0,1,20.0,40.0,10.0,10.0,2,305,0.6870079040527344,0.21112952021973544,,unknown
12,fresh,2,fresh,,,0,10.0,1,0,3,0,1,5.0,5.0,15.0,55.0,2,305,0.7922248840332031,0.21486112984111075,,unknown
13,fresh,5,fresh,,,0,15.0,1,1,12,1,0,10.0,40.0,15.0,55.0,1,673,6.578731060028076,0.0950560308411651,,unknown
14,fresh,0,fresh,,,0,15.0,1,1,1,0,1,20.0,10.0,15.0,55.0,1,337,3.1883325576782227,0.16992093142514458,,unknown
15,fresh,4,fresh,,,0,15.0,0,0,8,1,1,5.0,5.0,10.0,55.0,2,222,-0.14070415496826172,0.20052671591071664,,unknown
16,fresh,3,fresh,,,0,15.0,0,0,5,0,0,20.0,40.0,5.0,20.0,2,678,7.240219593048096,0.17298704596266568,,unknown
17,fresh,5,fresh,,,0,5.0,0,0,12,0,1,20.0,10.0,15.0,10.0,3,1000,6.305335998535156,0.20117114392109214,,
18,fresh,0,fresh,,,0,20.0,1,1,0,0,0,5.0,10.0,15.0,20.0,0,1000,6.604276180267334,0.034557638102676716,,
19,fresh,4,fresh,,,0,10.0,1,0,8,1,0,15.0,40.0,10.0,55.0,0,1000,6.614847660064697,0.17547224454116075,,
20,fresh,5,fresh,,,0,15.0,0,0,12,1,0,5.0,5.0,5.0,35.0,1,178,-0.5943412780761719,0.15763756621032535,,unknown
21,fresh,1,fresh,,,0,15.0,1,1,2,1,0,20.0,20.0,15.0,35.0,1,689,8.94872760772705,0.16353370776435114,,unknown
22,fresh,2,fresh,,,0,15.0,0,0,3,0,0,15.0,40.0,10.0,55.0,3,1000,7.853189945220947,0.06470355103537441,,
23,fresh,3,fresh,,,0,10.0,0,0,4,0,0,20.0,20.0,5.0,55.0,0,1000,31.16606330871582,0.3527819497007877,,
24,fresh,2,fresh,,,0,15.0,1,0,3,0,0,15.0,5.0,10.0,20.0,0,321,-0.13748526573181152,0.059064020008875805,,unknown
25,fresh,0,fresh,,,0,20.0,1,1,0,0,0,5.0,20.0,10.0,10.0,0,476,2.9954347610473633,0.08856175063342295,,unknown
26,replay,0,replay,,,0,20.0,1,1,0,0,0,5.0,20.0,10.0,10.0,0,493,9.761324882507324,0.27678948972547995,,unknown
27,fresh,2,fresh,,,0,15.0,0,0,3,0,0,20.0,10.0,10.0,55.0,1,1000,20.870439529418945,0.1958678138894029,,
28,replay,2,replay,,,0,15.0,0,0,3,0,0,20.0,10.0,10.0,55.0,1,1000,5.489203453063965,0.09960585431475193,,
29,fresh,1,fresh,,,0,5.0,1,1,2,0,1,10.0,20.0,10.0,20.0,2,1000,18.781692504882812,0.20559848760208116,,
30,crossover,5,crossover,,has_brake_checker|intersection_cars|distance_to_nearest,0,5.0,0,0,12,0,1,20.0,10.0,15.0,10.0,3,900,1.8598401546478271,0.07823220091276906,,unknown
31,fresh,4,fresh,,,0,10.0,1,0,8,0,1,5.0,40.0,15.0,55.0,2,127,1.4027624130249023,0.2600151809651082,,unknown
32,replay,4,replay,,,0,10.0,1,0,8,0,1,5.0,40.0,15.0,55.0,2,730,25.729812622070312,0.43414951274043895,,unknown
33,fresh,0,fresh,,,0,5.0,0,0,1,0,1,20.0,40.0,10.0,55.0,0,2,5.31628942489624,4.123944282531738,,unknown
34,replay,0,replay,,,0,5.0,0,0,1,0,1,20.0,40.0,10.0,55.0,0,488,14.062971115112305,0.31009554450751325,,unknown
35,fresh,3,fresh,,,0,20.0,0,0,5,1,1,10.0,20.0,5.0,35.0,2,175,2.283486843109131,0.1869921520778111,,unknown
36,replay,3,replay,,,0,20.0,0,0,5,1,1,10.0,20.0,5.0,35.0,2,247,3.7777998447418213,0.20539684784089626,,unknown
37,fresh,0,fresh,,,0,15.0,1,0,1,1,1,20.0,40.0,5.0,55.0,1,2,4.758841514587402,3.7310798168182373,,unknown
38,crossover,5,crossover,,has_brake_checker|maximum_distractor_speed|brake_dist,0,5.0,0,0,12,0,1,20.0,10.0,15.0,10.0,3,1000,1.8863826990127563,0.23237688355986028,,
39,fresh,0,fresh,,,0,15.0,0,0,0,0,0,10.0,20.0,15.0,20.0,0,581,18.988784790039062,0.36077021819294114,,unknown
40,replay,0,replay,,,0,15.0,0,0,0,0,0,10.0,20.0,15.0,20.0,0,128,-0.055472612380981445,0.15498700231546536,,unknown
41,fresh,3,fresh,,,0,10.0,0,0,5,1,1,5.0,5.0,5.0,20.0,3,924,-0.21427631378173828,0.0668331386261414,,unknown
42,mutation,0,mutation,distractor_cars,,2,10.0,0,0,0,1,0,5.0,5.0,15.0,55.0,0,435,16.68730354309082,0.41766960983560686,,unknown
43,fresh,0,fresh,,,0,5.0,1,1,1,1,0,5.0,5.0,5.0,55.0,1,148,5.376228332519531,0.36350069338506136,,unknown
44,crossover,1,crossover,,select_lane|ego_speed|ego_on_intersection|intersection_has_cars|distractor_cars|has_brake_checker|intersection_cars,5,5.0,1,1,2,0,0,5.0,5.0,15.0,55.0,2,193,1.4980254173278809,0.3777239523789426,,unknown
45,fresh,4,fresh,,,0,10.0,1,0,8,1,1,20.0,5.0,15.0,55.0,3,121,-0.2957693338394165,0.02180504198532459,,unknown
46,crossover,2,crossover,,has_brake_checker|has_cluster|maximum_distractor_speed|brake_dist,3,15.0,0,0,3,1,1,20.0,40.0,10.0,55.0,3,1000,5.67132568359375,0.081142863960471,,
