episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,4,0,1,20.0,40.0,5.0,10.0,3,501,20.669742584228516,0.8298898681909025,,crash_vehicle
1,fresh,0,fresh,,,0,0,0,18,1,1,5.0,40.0,5.0,55.0,2,1000,9.381046295166016,0.20213912617042662,,max_step
2,fresh,0,fresh,,,0,0,0,12,0,1,20.0,20.0,15.0,35.0,0,1000,11.22048568725586,0.22813420763099565,,max_step
3,fresh,0,fresh,,,0,1,0,3,1,1,15.0,40.0,5.0,55.0,0,1000,13.169419288635254,0.3055704742609523,,max_step
4,fresh,0,fresh,,,0,0,0,3,0,1,15.0,20.0,10.0,55.0,3,1000,14.392914772033691,0.2570800973370206,,max_step
5,fresh,0,fresh,,,0,0,0,0,1,0,10.0,20.0,10.0,55.0,0,1000,16.337677001953125,0.14457305907830595,,max_step
6,fresh,0,fresh,,,0,0,0,1,1,0,10.0,10.0,5.0,20.0,1,696,3.2024927139282227,0.1406874875785601,,out_of_road
7,fresh,0,fresh,,,0,1,0,1,1,0,15.0,20.0,15.0,55.0,1,393,0.330869197845459,0.14146252682920707,,out_of_road
8,fresh,0,fresh,,,0,1,1,0,1,0,15.0,5.0,15.0,35.0,0,825,3.253384590148926,0.11298283260428545,,out_of_road
9,fresh,0,fresh,,,0,1,0,3,0,0,10.0,40.0,10.0,10.0,3,568,7.639073371887207,0.2997390508379551,,out_of_road
10,fresh,0,fresh,,,0,1,0,12,1,0,20.0,40.0,10.0,55.0,0,654,7.931931018829346,0.24599570077267227,,out_of_road
11,fresh,0,fresh,,,0,0,0,3,0,1,15.0,20.0,15.0,20.0,3,1000,6.583232879638672,0.11393801593431271,,max_step
12,fresh,0,fresh,,,0,1,1,8,0,1,20.0,40.0,10.0,10.0,1,415,1.500504970550537,0.11329992859657989,,out_of_road
13,fresh,0,fresh,,,0,0,0,1,1,0,10.0,40.0,10.0,55.0,1,362,6.000828742980957,0.2899210972567372,,out_of_road
14,fresh,0,fresh,,,0,0,0,12,0,0,10.0,5.0,5.0,20.0,0,656,6.212806701660156,0.19057767868461514,,out_of_road
15,fresh,0,fresh,,,0,0,0,5,0,1,5.0,5.0,10.0,20.0,1,1000,4.017373085021973,0.0840463020701427,,max_step
16,fresh,0,fresh,,,0,1,1,2,0,1,15.0,40.0,5.0,35.0,0,457,3.6833767890930176,0.1443437029739039,,out_of_road
17,fresh,0,fresh,,,0,1,0,18,0,1,10.0,10.0,5.0,55.0,0,1000,7.0523362159729,0.18792524883220904,,max_step
18,fresh,0,fresh,,,0,1,0,1,0,0,20.0,10.0,15.0,55.0,1,318,6.102455139160156,0.24595839589096183,,out_of_road
19,fresh,0,fresh,,,0,1,0,18,1,0,20.0,20.0,15.0,55.0,2,218,0.040201425552368164,0.13916015634398668,,crash_vehicle
20,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,419,2.8540828227996826,0.17520735859937592,rejection_fallback,out_of_road
21,fresh,0,fresh,,,0,0,0,2,1,1,20.0,10.0,15.0,20.0,1,449,0.16990423202514648,0.0969203259186085,,out_of_road
22,fresh,0,fresh,,,0,1,0,12,0,0,5.0,5.0,15.0,10.0,2,1000,8.09822940826416,0.11849236017093062,,max_step
23,fresh,0,fresh,,,0,1,1,1,1,0,15.0,10.0,15.0,35.0,0,327,-0.7648849487304688,0.10080323510572588,,out_of_road
24,fresh,0,fresh,,,0,1,0,18,1,0,5.0,20.0,5.0,35.0,0,1000,1.9764699935913086,0.13634370297961868,,max_step
25,fresh,0,fresh,,,0,0,0,12,0,0,15.0,40.0,5.0,20.0,0,1000,9.7611083984375,0.17744089645543135,,max_step
26,fresh,0,fresh,,,0,1,1,1,1,1,15.0,20.0,15.0,35.0,1,175,2.9638237953186035,0.28424168190785815,,out_of_road
27,fresh,0,fresh,,,0,1,1,18,0,0,15.0,10.0,15.0,10.0,2,1000,2.7080299854278564,0.2488964783921838,,max_step
28,fresh,0,fresh,,,0,0,0,8,0,1,20.0,5.0,15.0,10.0,3,1000,-0.5040229558944702,0.14066278334427626,,max_step
29,fresh,0,fresh,,,0,1,0,1,1,1,5.0,10.0,5.0,20.0,0,131,1.5972609519958496,0.35264370857759286,,out_of_road
30,fresh,0,fresh,,,0,0,0,4,0,1,10.0,40.0,5.0,20.0,2,123,0.45372915267944336,0.23694190849375918,,out_of_road
31,fresh,0,fresh,,,0,0,0,2,1,1,15.0,20.0,5.0,35.0,2,95,0.8228504657745361,0.43775435870415286,,out_of_road
32,fresh,0,fresh,,,0,1,0,0,0,0,20.0,5.0,10.0,20.0,0,95,0.018273115158081055,0.29112709235203893,,out_of_road
33,fresh,0,fresh,,,0,1,0,0,0,0,15.0,40.0,15.0,10.0,0,188,3.417276620864868,0.2811776721463638,,out_of_road
34,fresh,0,fresh,,,0,0,0,1,1,1,20.0,5.0,5.0,20.0,1,96,0.5882203578948975,0.2991303958309193,,out_of_road
35,fresh,0,fresh,,,0,1,0,2,1,0,20.0,40.0,10.0,55.0,0,107,1.080583095550537,0.23382084976846926,,out_of_road
36,fresh,0,fresh,,,0,1,0,0,0,0,5.0,10.0,10.0,20.0,0,76,-0.09102129936218262,0.2807817300291438,,out_of_road
37,fresh,0,fresh,,,0,1,0,1,0,0,5.0,40.0,5.0,35.0,1,73,11.798599243164062,2.0522947311401367,,arrive_dest
38,fresh,0,fresh,,,0,1,0,0,1,0,5.0,5.0,10.0,20.0,0,198,1.7680058479309082,0.20360658086855152,,out_of_road
39,fresh,0,fresh,,,0,0,0,4,0,0,5.0,10.0,15.0,10.0,1,323,1.8181757926940918,0.17033387291542149,,out_of_road
40,fresh,0,fresh,,,0,1,0,18,0,0,15.0,10.0,10.0,55.0,1,1000,11.118664741516113,0.22068136371276342,,max_step
41,fresh,0,fresh,,,0,0,0,2,0,1,20.0,20.0,15.0,20.0,2,257,-0.05277204513549805,0.18823098797525065,,out_of_road
42,fresh,0,fresh,,,0,0,0,3,0,1,15.0,40.0,15.0,55.0,2,277,1.1895334720611572,0.07226040166221048,,out_of_road
43,fresh,0,fresh,,,0,0,0,3,0,0,10.0,40.0,5.0,10.0,0,115,2.1265742778778076,0.29603847271722294,,out_of_road
44,fresh,0,fresh,,,0,1,0,2,1,0,20.0,5.0,5.0,55.0,2,63,-0.15632843971252441,0.16253328950159132,,out_of_road
45,fresh,0,fresh,,,0,1,0,12,1,0,20.0,40.0,10.0,55.0,0,254,0.3660280704498291,0.08814260920172366,,out_of_road
46,fresh,0,fresh,,,0,1,1,3,1,1,15.0,20.0,5.0,35.0,0,1000,2.586273431777954,0.027962543320143595,,max_step
47,fresh,0,fresh,,,0,1,0,12,0,0,10.0,5.0,10.0,20.0,0,1000,2.6834895610809326,0.18535489196702837,,max_step
48,fresh,0,fresh,,,0,1,1,1,0,0,10.0,20.0,10.0,10.0,1,71,0.20855259895324707,0.1409290943976859,,out_of_road
49,fresh,0,fresh,,,0,1,0,18,0,1,15.0,40.0,10.0,35.0,3,1000,1.7525686025619507,0.18159098648885266,,max_step
50,fresh,0,fresh,,,0,1,0,1,1,0,15.0,20.0,5.0,35.0,1,115,2.280280828475952,0.26992828544715175,,out_of_road
51,fresh,0,fresh,,,0,0,0,2,0,1,5.0,5.0,15.0,55.0,1,274,3.798492193222046,0.28919343160886835,,out_of_road
52,fresh,0,fresh,,,0,1,1,18,1,0,20.0,40.0,10.0,55.0,2,246,3.279064178466797,0.2475836931470388,,out_of_road
53,fresh,0,fresh,,,0,0,0,2,1,0,10.0,10.0,15.0,35.0,0,285,-0.42134690284729004,0.14554817336039585,,out_of_road
54,fresh,0,fresh,,,0,0,0,12,1,1,15.0,10.0,15.0,35.0,2,352,5.516293525695801,0.19426946216580374,,out_of_road
55,fresh,0,fresh,,,0,0,0,3,1,0,10.0,5.0,5.0,35.0,2,136,6.627717971801758,0.5871678908245966,,out_of_road
56,fresh,0,fresh,,,0,1,1,4,1,0,15.0,40.0,15.0,55.0,2,68,0.3852083683013916,0.15920115262269974,,out_of_road
57,fresh,0,fresh,,,0,0,0,2,0,1,15.0,5.0,5.0,35.0,0,1000,2.7362000942230225,0.05965075689833611,,max_step
58,fresh,0,fresh,,,0,1,1,18,0,1,10.0,5.0,5.0,10.0,3,1000,-0.5374040603637695,0.14424480893742292,,max_step
59,fresh,0,fresh,,,0,1,1,3,0,0,15.0,5.0,5.0,20.0,0,127,4.227608680725098,0.4244957824391643,,out_of_road
60,fresh,0,fresh,,,0,1,0,2,1,1,20.0,10.0,15.0,35.0,0,416,15.274635314941406,0.38583385955112487,,crash_vehicle
61,fresh,0,fresh,,,0,0,0,1,0,0,15.0,40.0,15.0,20.0,0,135,8.256779670715332,0.5647561618575343,,out_of_road
62,fresh,0,fresh,,,0,0,0,12,0,0,20.0,20.0,15.0,55.0,1,823,-2.010129690170288,0.10302228231423219,,crash_vehicle
