episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
41,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,53,-1.027114748954773,0.0019644008211369786,,out_of_road
42,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,152,-1.7186849117279053,0.013779181993174317,,out_of_road
43,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,399,15.776872634887695,0.4605708227569896,,out_of_road
44,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,121,-1.1508129835128784,0.015661249745421667,,out_of_road
45,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,114,0.8958489894866943,0.10042572867844188,,out_of_road
46,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,410,1.479909896850586,0.08270424411109671,,out_of_road
47,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,145,1.0191004276275635,0.1303449687901242,,out_of_road
48,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,548,16.370162963867188,0.37796280409182237,,out_of_road
49,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,93,0.911827564239502,0.14003795930134352,,out_of_road
50,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,135,6.638428688049316,0.5300238923066192,,out_of_road
51,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,890,16.46152114868164,0.1731680828868673,,out_of_road
52,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,116,-1.4244790077209473,0.010915583641878489,,out_of_road
53,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,197,1.9698196649551392,0.06300060103084835,,out_of_road
54,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,862,10.425076484680176,0.14370698887793232,,out_of_road
55,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,185,0.8662840127944946,0.15436491816229111,,out_of_road
