episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
43,fresh,0,fresh,,,0,1,0,12,1,1,10.0,10.0,10.0,35.0,1,1000,9.171371459960938,0.09210753797227517,,max_step
44,fresh,0,fresh,,,0,1,1,8,1,0,20.0,5.0,15.0,35.0,2,343,0.39664602279663086,0.12098486766045365,,crash_vehicle
45,fresh,0,fresh,,,0,0,0,12,0,1,5.0,40.0,5.0,10.0,3,183,7.57767391204834,0.19533175923174523,,crash_vehicle
46,fresh,0,fresh,,,0,0,0,0,1,0,15.0,10.0,10.0,10.0,0,409,16.25970458984375,0.35988038443575426,,out_of_road
47,fresh,0,fresh,,,0,1,0,0,0,0,5.0,20.0,10.0,35.0,0,532,25.476701736450195,0.3573402410891271,,arrive_dest
48,fresh,0,fresh,,,0,0,0,4,0,0,5.0,5.0,15.0,10.0,2,249,-0.05356884002685547,0.006817188011070931,,crash_vehicle
49,fresh,0,fresh,,,0,1,0,18,0,0,20.0,10.0,5.0,55.0,2,1000,0.9276708364486694,0.2348876451458782,,max_step
50,fresh,0,fresh,,,0,1,0,12,1,0,5.0,20.0,10.0,35.0,0,1000,7.15291690826416,0.12264159845840186,,max_step
51,fresh,0,fresh,,,0,0,0,1,1,0,20.0,40.0,10.0,55.0,1,495,25.83573341369629,0.38791715023531154,,out_of_road
52,fresh,0,fresh,,,0,0,0,8,1,1,15.0,10.0,10.0,20.0,2,72,1.3522369861602783,0.08978799202789862,,crash_vehicle
53,fresh,0,fresh,,,0,0,0,18,0,0,15.0,40.0,5.0,20.0,3,164,8.483634948730469,0.34007814087019095,,out_of_road
54,fresh,0,fresh,,,0,0,0,1,1,0,20.0,20.0,10.0,35.0,1,1000,47.68638229370117,0.31279977804981174,,max_step
55,fresh,0,fresh,,,0,1,1,2,0,1,10.0,20.0,5.0,35.0,2,1000,35.33472442626953,0.24671359556051903,,max_step
56,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,437,16.646442413330078,0.15119904216626143,rejection_fallback,out_of_road
57,fresh,0,fresh,,,0,0,0,1,1,0,20.0,5.0,10.0,35.0,1,94,1.8740522861480713,0.06468615994015907,,out_of_road
58,fresh,0,fresh,,,0,0,0,5,0,0,15.0,10.0,10.0,20.0,1,902,18.81826400756836,0.2014358617115493,,out_of_road
59,fresh,0,fresh,,,0,1,0,12,0,0,15.0,10.0,15.0,35.0,1,581,13.28446102142334,0.1275960142906954,,out_of_road
60,fresh,0,fresh,,,0,1,1,0,0,0,5.0,40.0,15.0,55.0,0,122,1.2080841064453125,0.040361343627245944,,out_of_road
61,fresh,0,fresh,,,0,0,0,8,1,1,20.0,20.0,10.0,55.0,0,133,1.5896408557891846,0.06502591388622173,,out_of_road
62,fresh,0,fresh,,,0,1,0,0,1,0,20.0,40.0,15.0,10.0,0,246,6.527182102203369,0.13320261473214723,,out_of_road
63,fresh,0,fresh,,,0,0,0,5,1,1,5.0,10.0,15.0,35.0,2,159,-0.32634830474853516,0.09592843133042443,,out_of_road
64,fresh,0,fresh,,,0,0,0,18,1,1,10.0,5.0,10.0,20.0,2,1000,0.8967289328575134,0.17803698823158629,,max_step
65,fresh,0,fresh,,,0,0,0,2,0,1,20.0,10.0,10.0,35.0,2,1000,24.221683502197266,0.09990311326272786,,max_step
66,fresh,0,fresh,,,0,1,1,12,1,1,5.0,5.0,15.0,55.0,1,777,-0.07593551278114319,0.1233190004234388,,crash_vehicle
67,fresh,0,fresh,,,0,0,0,2,1,1,15.0,20.0,10.0,35.0,2,972,35.11004638671875,0.10749504613831884,,out_of_road
68,fresh,0,fresh,,,0,1,1,8,0,1,5.0,40.0,10.0,10.0,3,1000,1.8532228469848633,0.11505331664718688,,max_step
69,fresh,0,fresh,,,0,0,0,0,1,0,10.0,10.0,15.0,35.0,0,193,3.3458776473999023,0.13331121347188332,,out_of_road
70,fresh,0,fresh,,,0,0,0,3,1,0,20.0,20.0,5.0,35.0,1,126,2.153737783432007,0.07193347830916681,,crash_vehicle
71,fresh,0,fresh,,,0,1,1,4,0,0,20.0,5.0,15.0,35.0,2,316,-0.01124754548072815,0.17421409625506995,,crash_vehicle
72,fresh,0,fresh,,,0,1,0,12,1,0,15.0,5.0,15.0,20.0,0,141,-0.01734831929206848,0.09208230890254392,,crash_vehicle
73,fresh,0,fresh,,,0,0,0,18,0,0,5.0,40.0,10.0,10.0,3,1000,5.904085159301758,0.13578743616887368,,max_step
74,fresh,0,fresh,,,0,1,0,12,1,1,10.0,40.0,15.0,55.0,2,1000,1.8330795764923096,0.04798055498220492,,max_step
75,fresh,0,fresh,,,0,0,0,1,1,1,20.0,10.0,15.0,20.0,1,721,25.73503875732422,0.19663821596034833,,arrive_dest
76,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,299,13.81060791015625,0.25841298451908806,rejection_fallback,arrive_dest
77,fresh,0,fresh,,,0,1,1,8,0,1,15.0,20.0,5.0,55.0,2,1000,2.149895191192627,0.05387919176276773,,max_step
78,fresh,0,fresh,,,0,1,0,5,1,1,15.0,40.0,5.0,55.0,2,1000,27.15478515625,0.12271932899067178,,max_step
79,fresh,0,fresh,,,0,0,0,0,0,0,15.0,10.0,15.0,35.0,0,200,5.852977752685547,0.0462777372286655,,out_of_road
80,fresh,0,fresh,,,0,1,0,1,1,1,5.0,20.0,5.0,35.0,0,405,2.447021722793579,0.026288287836575396,,crash_vehicle
81,fresh,0,fresh,,,0,1,0,3,1,0,15.0,5.0,5.0,20.0,1,1000,0.348908007144928,0.11386526277690427,,max_step
82,fresh,0,fresh,,,0,0,0,8,0,1,20.0,5.0,10.0,20.0,0,47,-0.26276254653930664,0.24873188894955403,,crash_vehicle
83,fresh,0,fresh,,,0,1,1,8,1,0,15.0,5.0,15.0,35.0,2,1000,0.04097117856144905,0.0397748302888358,,max_step
84,fresh,0,fresh,,,0,1,1,4,1,0,15.0,20.0,10.0,55.0,3,466,18.065994262695312,0.16589905398841867,,out_of_road
85,fresh,0,fresh,,,0,1,0,0,1,0,10.0,20.0,15.0,10.0,0,243,7.413967132568359,0.1695227394639342,,out_of_road
86,fresh,0,fresh,,,0,0,0,1,0,0,20.0,20.0,15.0,55.0,1,394,18.395700454711914,0.24657293487586043,,out_of_road
87,fresh,0,fresh,,,0,0,0,4,1,0,10.0,20.0,5.0,35.0,2,1000,-0.022402675822377205,0.024877934023854322,,max_step
88,fresh,0,fresh,,,0,1,0,8,0,0,5.0,10.0,5.0,10.0,1,627,14.817341804504395,0.18124205396979293,,out_of_road
89,fresh,0,fresh,,,0,0,0,18,0,1,15.0,20.0,15.0,35.0,3,76,-0.12814393639564514,0.04780888537827291,,crash_vehicle
90,fresh,0,fresh,,,0,1,0,4,0,1,20.0,20.0,5.0,10.0,2,712,14.175811767578125,0.13257480181853046,,out_of_road
91,fresh,0,fresh,,,0,0,0,12,0,1,15.0,10.0,5.0,10.0,1,1000,0.616528332233429,0.10292193901352584,,max_step
92,fresh,0,fresh,,,0,0,0,1,1,0,10.0,10.0,5.0,55.0,1,472,18.32415771484375,0.14350193819046905,,crash_vehicle
93,fresh,0,fresh,,,0,0,0,5,0,1,10.0,20.0,10.0,20.0,1,1000,0.7608555555343628,0.0017562767323106526,,max_step
94,fresh,0,fresh,,,0,1,0,2,1,1,15.0,10.0,5.0,20.0,2,1000,-0.033943068236112595,0.0006265612905845046,,max_step
95,fresh,0,fresh,,,0,1,0,1,1,0,20.0,20.0,15.0,35.0,0,1000,13.53911304473877,0.11826159771112725,,max_step
96,fresh,0,fresh,,,0,1,0,0,0,0,5.0,40.0,15.0,10.0,0,322,11.723907470703125,0.13333114570365373,,out_of_road
97,fresh,0,fresh,,,0,1,0,8,1,1,15.0,20.0,15.0,35.0,3,484,14.056680679321289,0.18486590004210507,,out_of_road
98,fresh,0,fresh,,,0,0,0,4,0,0,10.0,10.0,15.0,20.0,3,1000,18.23646354675293,0.17510741420974954,,max_step
99,fresh,0,fresh,,,0,0,0,2,0,0,5.0,40.0,10.0,35.0,0,208,2.618459939956665,0.022899407705363747,,crash_vehicle
100,fresh,0,fresh,,,0,0,0,0,1,0,20.0,20.0,10.0,10.0,0,281,8.331189155578613,0.15746646494773678,,arrive_dest
101,fresh,0,fresh,,,0,1,1,12,1,0,5.0,10.0,5.0,35.0,1,787,0.21532925963401794,0.0777447153814137,,crash_vehicle
102,fresh,0,fresh,,,0,0,0,0,0,0,5.0,20.0,10.0,20.0,0,362,17.701446533203125,0.3518070190198184,,out_of_road
103,fresh,0,fresh,,,0,0,0,1,1,0,5.0,5.0,10.0,55.0,1,174,5.4966230392456055,0.03323664229320383,,out_of_road
104,fresh,0,fresh,,,0,1,0,0,0,0,20.0,10.0,15.0,35.0,0,159,5.077335357666016,0.13058870735595812,,out_of_road
105,fresh,0,fresh,,,0,0,0,0,1,0,5.0,5.0,5.0,20.0,0,106,1.114724040031433,0.11789317035450125,,out_of_road
106,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,21,-0.37872254848480225,0.028941820065180462,rejection_fallback,out_of_road
107,fresh,0,fresh,,,0,1,1,0,0,0,5.0,10.0,5.0,55.0,0,240,8.869832992553711,0.13658035450304548,,out_of_road
108,fresh,0,fresh,,,0,0,0,2,0,1,5.0,5.0,5.0,10.0,0,285,0.12886512279510498,0.04421891051328235,,out_of_road
109,fresh,0,fresh,,,0,0,0,8,1,0,5.0,40.0,10.0,55.0,0,123,3.8921902179718018,0.051826979177511806,,crash_vehicle
110,fresh,0,fresh,,,0,0,0,8,0,1,10.0,40.0,10.0,55.0,3,1000,3.4566545486450195,0.0967389166430803,,max_step
111,fresh,0,fresh,,,0,0,0,2,0,0,20.0,10.0,15.0,35.0,1,111,0.3271730840206146,0.044245943141815895,,out_of_road
112,fresh,0,fresh,,,0,0,0,2,1,0,5.0,40.0,10.0,55.0,2,137,3.8399763107299805,0.04754690558778761,,out_of_road
113,fresh,0,fresh,,,0,1,1,1,0,1,10.0,5.0,5.0,10.0,1,135,4.208470821380615,0.08824839872066621,,out_of_road
114,fresh,0,fresh,,,0,0,0,12,0,0,10.0,40.0,10.0,35.0,1,114,3.57669734954834,0.08598062224490077,,out_of_road
115,fresh,0,fresh,,,0,0,0,8,0,1,20.0,20.0,15.0,10.0,0,43,0.1810411512851715,0.0010729841021604317,,out_of_road
116,fresh,0,fresh,,,0,1,0,12,0,0,20.0,20.0,15.0,35.0,0,945,11.74485969543457,0.09942182911875308,,crash_vehicle
117,fresh,0,fresh,,,0,0,0,4,0,0,15.0,40.0,15.0,20.0,0,125,2.248786449432373,0.018459438443183897,,out_of_road
118,fresh,0,fresh,,,0,1,0,5,0,0,20.0,40.0,10.0,55.0,1,58,0.26322516798973083,0.027662403239258403,,out_of_road
119,fresh,0,fresh,,,0,0,0,1,1,0,15.0,10.0,15.0,20.0,1,125,0.7918801307678223,0.10497974985837936,,out_of_road
120,fresh,0,fresh,,,0,0,0,18,1,0,15.0,10.0,10.0,35.0,0,442,9.181905746459961,0.21505632453568582,,out_of_road
121,fresh,0,fresh,,,0,1,0,18,1,1,20.0,10.0,5.0,55.0,2,298,0.3218807578086853,0.07809264503494405,,crash_vehicle
122,fresh,0,fresh,,,0,0,0,5,0,0,15.0,40.0,5.0,35.0,3,850,7.165326118469238,0.06180534235010033,,out_of_road
123,fresh,0,fresh,,,0,0,0,1,1,0,15.0,5.0,10.0,55.0,1,269,9.91157341003418,0.11081724519734046,,crash_vehicle
124,fresh,0,fresh,,,0,0,0,3,0,1,15.0,5.0,5.0,10.0,0,557,0.9722574949264526,0.006607497135207351,,crash_vehicle
125,fresh,0,fresh,,,0,0,0,1,1,0,15.0,20.0,5.0,35.0,1,2,0.7452232241630554,0.13946351408958435,,arrive_dest
126,fresh,0,fresh,,,0,1,0,5,1,1,10.0,10.0,10.0,20.0,2,1000,1.704695224761963,0.012125456245848909,,max_step
127,fresh,0,fresh,,,0,1,1,0,1,0,10.0,5.0,15.0,55.0,0,233,7.800995349884033,0.0836843945117979,,out_of_road
128,fresh,0,fresh,,,0,0,0,5,0,0,15.0,10.0,10.0,10.0,0,1000,0.44121280312538147,0.009248568597249686,,max_step
129,fresh,0,fresh,,,0,0,0,2,0,0,15.0,10.0,15.0,55.0,2,212,9.063708305358887,0.24826750134662637,,out_of_road
130,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,231,8.127338409423828,0.14195406778203526,rejection_fallback,out_of_road
131,fresh,0,fresh,,,0,1,0,0,1,0,15.0,10.0,15.0,35.0,0,342,10.651884078979492,0.13232497891890463,,crash_vehicle
132,fresh,0,fresh,,,0,0,0,12,1,1,20.0,40.0,15.0,55.0,1,47,0.4339337646961212,0.029358742084908993,,out_of_road
133,fresh,0,fresh,,,0,1,0,4,1,1,15.0,20.0,5.0,55.0,3,53,0.3064931631088257,0.00022393015195738594,,out_of_road
134,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,113,2.746028423309326,0.06143429690757684,rejection_fallback,out_of_road
135,fresh,0,fresh,,,0,0,0,18,0,1,20.0,10.0,15.0,10.0,1,148,1.7222461700439453,0.09280028657333271,,crash_vehicle
136,fresh,0,fresh,,,0,0,0,4,0,1,5.0,5.0,15.0,55.0,1,173,2.0620672702789307,0.14080015172632787,,crash_vehicle
137,fresh,0,fresh,,,0,0,0,1,0,1,5.0,5.0,15.0,20.0,1,127,3.768923282623291,0.04614022080823192,,out_of_road
138,fresh,0,fresh,,,0,1,0,18,0,1,5.0,40.0,15.0,55.0,0,2,0.7378471493721008,0.2731614112854004,,arrive_dest
139,fresh,0,fresh,,,0,0,0,0,0,0,20.0,5.0,5.0,20.0,0,300,14.508230209350586,0.24228586284754178,,out_of_road
140,fresh,0,fresh,,,0,1,0,8,0,0,15.0,10.0,10.0,20.0,1,75,0.11228206753730774,0.1864020708700021,,out_of_road
141,fresh,0,fresh,,,0,0,0,2,0,0,5.0,20.0,10.0,55.0,2,115,2.8443212509155273,0.029747380656392677,,out_of_road
142,fresh,0,fresh,,,0,0,0,18,1,1,10.0,20.0,5.0,55.0,1,1000,3.8228065967559814,0.07610820760915521,,max_step
143,fresh,0,fresh,,,0,1,1,8,0,0,5.0,40.0,5.0,10.0,0,1000,0.6779295802116394,0.03349207207828295,,max_step
144,fresh,0,fresh,,,0,0,0,0,1,0,10.0,10.0,15.0,20.0,0,72,0.7051620483398438,0.03064966905448172,,out_of_road
145,fresh,0,fresh,,,0,0,0,8,0,1,20.0,20.0,10.0,20.0,3,69,1.0307635068893433,0.0,,crash_vehicle
146,fresh,0,fresh,,,0,0,0,12,1,0,15.0,10.0,15.0,20.0,2,120,0.387454628944397,0.11771186931679646,,out_of_road
147,fresh,0,fresh,,,0,1,0,3,0,1,20.0,40.0,15.0,55.0,2,2,0.7307747006416321,0.0,,arrive_dest
148,fresh,0,fresh,,,0,1,1,8,1,0,10.0,20.0,5.0,35.0,2,1000,13.163338661193848,0.13206410052580758,,max_step
149,fresh,0,fresh,,,0,0,0,8,0,0,10.0,5.0,10.0,35.0,2,20,-0.3677835464477539,0.036967269331216815,,crash_vehicle
150,fresh,0,fresh,,,0,1,0,18,0,1,15.0,5.0,10.0,55.0,0,63,-0.02020132541656494,0.009890745556543745,,crash_vehicle
151,fresh,0,fresh,,,0,1,1,8,0,1,5.0,5.0,10.0,10.0,0,1000,0.11622364819049835,0.03681800380209461,,max_step
152,fresh,0,fresh,,,0,1,1,18,0,0,15.0,10.0,15.0,35.0,1,83,-0.08087027072906494,0.01629798114299774,,crash_vehicle
153,fresh,0,fresh,,,0,1,0,0,1,0,15.0,20.0,15.0,55.0,0,103,2.41091251373291,0.030211765373360764,,out_of_road
154,fresh,0,fresh,,,0,0,0,2,0,1,10.0,5.0,15.0,35.0,0,25,-0.39701321721076965,0.09578526511788368,,out_of_road
