episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,999,57.31024169921875,0.8448858866216363,,max_step
1,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,40.19831848144531,0.6409046701285989,,max_step
2,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,51.39449691772461,0.7910592901334167,,max_step
3,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,232,-12.8818359375,0.0014789819332032368,,out_of_road
4,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,15.651126861572266,0.2359918753965758,,max_step
5,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,13.474119186401367,0.12719804182462394,,max_step
6,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,143,12.835785865783691,1.4053572834423789,,arrive_dest
7,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,396,-5.213104724884033,0.009636439752266412,,out_of_road
8,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,19.317955017089844,0.25053477627923715,,max_step
9,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,380,-0.9064080715179443,0.050142258729197475,,out_of_road
10,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,517,-0.1011953353881836,0.1746877322245454,,out_of_road
11,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,635,6.0364508628845215,0.20497195032282226,,out_of_road
12,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,12.981924057006836,0.08694806173862889,,max_step
13,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,298,-0.007180213928222656,0.1141094709277753,,out_of_road
14,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,352,5.794843673706055,0.29917281345379626,,out_of_road
15,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,639,8.249887466430664,0.13106304228160798,,out_of_road
16,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,600,7.715897560119629,0.16065225658006965,,out_of_road
17,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,17.677268981933594,0.14399850942194461,,max_step
18,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,631,16.894256591796875,0.31283072863518013,,out_of_road
19,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,439,10.716899871826172,0.2979299597174846,,out_of_road
20,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,284,3.3012537956237793,0.15072131541255915,,out_of_road
21,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,242,0.5591311454772949,0.09119154497825209,,out_of_road
22,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,328,8.104462623596191,0.2842893854078905,,out_of_road
23,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,619,10.262251853942871,0.20607303643842892,,out_of_road
24,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,126,-1.0946755409240723,0.041141580198965376,,out_of_road
25,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,36.61399841308594,0.37265031786728653,,max_step
26,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,110,-1.34271240234375,0.004435531896623698,,out_of_road
27,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,11.678825378417969,0.13788506814930587,,max_step
28,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,203,2.7097387313842773,0.0729483185758071,,out_of_road
29,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,968,23.073890686035156,0.2101778426173447,,out_of_road
30,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,82,-1.187074899673462,0.02681385155585481,,out_of_road
31,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,22.99416732788086,0.14904476598463953,,max_step
32,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,62,-0.8287903070449829,0.010238887802247078,,out_of_road
33,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,171,0.7676039934158325,0.05029990411314525,,out_of_road
34,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,648,14.134971618652344,0.19200513493355917,,out_of_road
35,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,620,19.291292190551758,0.2804859238226087,,out_of_road
