episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,999,47.74042510986328,0.7208336809290213,,max_step
1,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,20.246658325195312,0.37551553058903664,,max_step
2,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,726,13.330120086669922,0.3712180349853957,,out_of_road
3,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,11.586970329284668,0.18598674545320681,,max_step
4,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,359,-3.726757287979126,0.14319992889870675,,out_of_road
5,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,830,0.1439986228942871,0.11824775084135045,,out_of_road
6,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,-5.864460468292236,0.0029266462540254,,max_step
7,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,7.147758960723877,0.09668588389502838,,max_step
8,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,916,3.470088005065918,0.1287256139005213,,out_of_road
9,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,14.754791259765625,0.1345665277991211,,max_step
10,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,544,2.5920472145080566,0.10095962025704519,,out_of_road
11,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,445,1.240750789642334,0.11053518705132805,,out_of_road
12,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,959,12.405729293823242,0.17456830786278896,,out_of_road
13,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,9.431435585021973,0.08857934616692364,,max_step
14,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,757,1.8576478958129883,0.11897312088800617,,out_of_road
