episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
0,fresh,0,fresh,,,0,0,0,1,1,1,15.0,10.0,15.0,20.0,1,999,50.41073989868164,0.8069290178674119,,max_step
1,fresh,1,fresh,,,0,1,1,2,1,0,20.0,20.0,10.0,35.0,2,1000,45.968387603759766,0.7135590132884682,,max_step
2,fresh,0,fresh,,,0,0,0,1,1,1,5.0,20.0,10.0,35.0,1,1000,41.333499908447266,0.7169342864342034,,max_step
3,fresh,4,fresh,,,0,1,0,8,1,0,5.0,5.0,10.0,20.0,3,1000,32.10115432739258,0.4932196583673358,,max_step
4,fresh,5,fresh,,,0,1,1,12,0,1,20.0,5.0,5.0,55.0,3,579,10.903743743896484,0.6973852523810042,,crash_vehicle
5,fresh,5,fresh,,,0,0,0,12,0,1,10.0,20.0,5.0,10.0,1,966,8.351262092590332,0.28038448920785825,,out_of_road
6,fresh,1,fresh,,,0,1,0,2,0,0,10.0,20.0,15.0,20.0,0,898,9.960935592651367,0.21596832821904816,,out_of_road
7,fresh,6,fresh,,,0,1,0,18,0,1,20.0,40.0,5.0,35.0,1,206,-0.08916473388671875,0.2783919272456065,,out_of_road
8,fresh,3,fresh,,,0,1,1,5,0,1,5.0,5.0,10.0,20.0,3,624,5.098122596740723,0.2272472490156547,,out_of_road
9,fresh,2,fresh,,,0,0,0,3,1,0,20.0,20.0,15.0,35.0,3,545,4.927882194519043,0.1794844377888452,,crash_vehicle
10,fresh,3,fresh,,,0,0,0,4,0,1,15.0,40.0,10.0,20.0,3,147,-0.5185432434082031,0.3344309024614136,,out_of_road
11,fresh,3,fresh,,,0,0,0,5,1,1,15.0,20.0,5.0,35.0,0,1000,14.39673137664795,0.2635011905385181,,max_step
12,fresh,2,fresh,,,0,0,0,3,0,1,5.0,20.0,5.0,10.0,2,464,10.524046897888184,0.5071183780192172,,out_of_road
13,fresh,2,fresh,,,0,0,0,3,1,0,10.0,20.0,15.0,35.0,1,1000,17.923721313476562,0.20844627540558577,,max_step
14,fresh,4,fresh,,,0,1,1,8,1,1,15.0,40.0,10.0,55.0,2,483,2.0649020671844482,0.1730090923603493,,out_of_road
15,fresh,3,fresh,,,0,0,0,4,1,1,5.0,20.0,5.0,55.0,3,189,2.255361795425415,0.38548563674545633,,out_of_road
16,fresh,3,fresh,,,0,1,0,4,1,0,20.0,5.0,15.0,20.0,0,860,10.869041442871094,0.3370898618492796,,out_of_road
17,fresh,5,fresh,,,0,1,1,12,0,1,15.0,5.0,10.0,35.0,2,261,1.1686408519744873,0.412698646443557,,out_of_road
18,fresh,0,fresh,,,0,0,0,0,0,0,15.0,5.0,15.0,55.0,0,1000,28.69521713256836,0.3226131674158387,,max_step
19,fresh,0,fresh,,,0,0,0,1,1,0,10.0,20.0,5.0,35.0,0,278,7.394638538360596,0.42341011830960673,,out_of_road
20,fresh,3,fresh,,,0,1,1,4,0,0,15.0,5.0,15.0,55.0,3,1000,2.6060986518859863,0.0792818562029861,,max_step
21,fresh,0,fresh,,,0,0,0,0,0,0,20.0,40.0,15.0,35.0,0,432,16.095964431762695,0.4561554710725667,,out_of_road
22,fresh,0,fresh,,,0,0,0,0,1,0,15.0,20.0,5.0,55.0,0,84,4.247494220733643,0.5315117002243087,,out_of_road
23,fresh,4,fresh,,,0,1,1,8,0,0,15.0,5.0,15.0,10.0,3,190,-0.2657039165496826,0.07728281209833528,,crash_vehicle
24,fresh,3,fresh,,,0,0,0,4,1,1,15.0,20.0,5.0,35.0,1,365,2.8961732387542725,0.13819328494854782,,out_of_road
25,fresh,3,fresh,,,0,1,1,5,1,0,20.0,10.0,5.0,20.0,3,406,6.319369316101074,0.354256539110076,,out_of_road
26,crossover,1,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|has_brake_checker|has_cluster|maximum_distractor_speed|brake_dist,0,1,0,2,0,0,10.0,20.0,15.0,20.0,0,381,4.502004146575928,0.1761700786708847,,out_of_road
27,fresh,6,fresh,,,0,1,1,18,1,0,20.0,20.0,10.0,55.0,1,1000,1.960915446281433,0.17280352096725254,,max_step
28,mutation,1,mutation,has_brake_checker,,1,1,1,2,0,0,20.0,20.0,10.0,35.0,2,95,0.996178150177002,0.2087449470240819,,out_of_road
29,fresh,0,fresh,,,0,0,0,1,0,1,20.0,10.0,15.0,10.0,0,160,1.9664790630340576,0.3771333334501833,,out_of_road
30,mutation,0,mutation,has_cluster,,0,0,0,1,1,0,10.0,20.0,5.0,35.0,0,418,24.36542510986328,0.6620676502959723,,out_of_road
31,fresh,0,fresh,,,0,1,0,0,1,0,15.0,40.0,10.0,10.0,0,436,17.831350326538086,0.4188687784956136,,out_of_road
32,replay,0,replay,,,0,1,0,0,1,0,15.0,40.0,10.0,10.0,0,155,6.560919761657715,0.4562077996711577,,out_of_road
33,fresh,0,fresh,,,0,1,0,1,1,1,10.0,10.0,15.0,35.0,0,101,0.07628464698791504,0.10621361349626343,,out_of_road
34,replay,0,replay,,,0,1,0,1,1,1,10.0,10.0,15.0,35.0,0,85,0.7643332481384277,0.10427550949594554,,out_of_road
35,fresh,2,fresh,,,0,1,0,3,1,0,15.0,5.0,10.0,35.0,2,342,-0.07529175281524658,0.052479983835715296,,crash_vehicle
36,replay,2,replay,,,0,1,0,3,1,0,15.0,5.0,10.0,35.0,2,404,15.015493392944336,0.3946842605635376,,out_of_road
37,fresh,6,fresh,,,0,0,0,18,0,1,5.0,5.0,10.0,10.0,0,140,-1.4165289402008057,0.1372024066746235,,crash_vehicle
38,mutation,0,mutation,brake_dist,,0,0,0,1,1,1,15.0,10.0,15.0,20.0,1,116,-0.4714853763580322,0.05825785125991137,,crash_vehicle
39,fresh,0,fresh,,,0,0,0,1,1,0,20.0,20.0,15.0,35.0,1,544,9.169548034667969,0.2381563367020777,,out_of_road
40,crossover,4,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars,3,1,0,8,1,1,15.0,40.0,10.0,55.0,3,64,1.0667203664779663,0.1462250604527071,,out_of_road
