episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
42,mutation,6,mutation,select_road|select_lane|ego_on_intersection|intersection_has_cars,,2,1,0,18,1,1,20.0,10.0,15.0,35.0,2,183,2.4940061569213867,0.4291148205272487,,crash_vehicle
43,fresh,3,fresh,,,0,1,1,4,0,1,10.0,20.0,10.0,10.0,3,185,3.5145750045776367,0.43682136303065594,,out_of_road
44,crossover,2,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|has_brake_checker|maximum_distractor_speed|distance_to_nearest|cluster_dist|brake_dist,6,0,0,3,1,0,20.0,5.0,5.0,20.0,2,227,2.101132392883301,0.2794765810182704,,out_of_road
45,fresh,6,fresh,,,0,0,0,18,1,0,5.0,40.0,10.0,55.0,1,169,5.129633903503418,0.7770235648698355,,crash_vehicle
46,mutation,5,mutation,has_cluster,,0,0,0,12,1,0,20.0,10.0,5.0,20.0,1,296,9.0424222946167,0.4930165913459417,,out_of_road
47,fresh,3,fresh,,,0,1,1,4,0,1,10.0,40.0,15.0,10.0,3,934,-9.168264389038086,0.07841035034667054,,out_of_road
48,replay,3,replay,,,0,1,1,4,0,1,10.0,40.0,15.0,10.0,3,173,3.976691246032715,0.5099474738615786,,out_of_road
49,fresh,0,fresh,,,0,0,0,0,0,0,15.0,40.0,15.0,35.0,0,422,15.593093872070312,0.5744673656696957,,out_of_road
50,crossover,6,crossover,,select_lane|ego_on_intersection|intersection_has_cars|has_brake_checker|intersection_cars|maximum_distractor_speed|distance_to_nearest,0,0,0,18,1,1,20.0,10.0,15.0,35.0,2,191,0.9952545166015625,0.3170021458953151,,out_of_road
51,fresh,0,fresh,,,0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,188,0.4320802688598633,0.18209979973456009,rejection_fallback,out_of_road
52,mutation,0,mutation,distance_to_nearest,,1,0,0,0,0,0,15.0,10.0,15.0,35.0,0,145,-0.9370718002319336,0.2085974302335546,,out_of_road
53,fresh,6,fresh,,,0,1,1,18,1,0,10.0,5.0,15.0,20.0,1,243,5.2382659912109375,0.48967766771744553,,out_of_road
54,mutation,3,mutation,maximum_distractor_speed,,1,0,0,4,1,0,5.0,10.0,10.0,20.0,1,397,6.1313886642456055,0.3357861760290579,,out_of_road
55,fresh,0,fresh,,,0,0,0,0,1,0,10.0,10.0,10.0,55.0,0,178,2.3343849182128906,0.39754759042073834,,out_of_road
56,crossover,2,crossover,,distractor_cars|has_brake_checker|intersection_cars|has_cluster|cluster_dist|brake_dist,0,0,0,3,1,0,5.0,5.0,5.0,35.0,3,176,0.7804327011108398,0.30148161376233806,,out_of_road
57,fresh,5,fresh,,,0,1,1,12,1,0,10.0,40.0,15.0,55.0,3,134,-0.9684762954711914,0.14075445855008578,,out_of_road
58,crossover,0,crossover,,distractor_cars|intersection_cars|has_cluster|maximum_distractor_speed|brake_dist,5,0,0,1,0,1,5.0,5.0,15.0,35.0,1,686,6.498712539672852,0.3100021426293065,,out_of_road
59,fresh,4,fresh,,,0,1,0,8,0,1,10.0,10.0,10.0,10.0,2,746,8.698543548583984,0.4329281359032076,,out_of_road
60,mutation,2,mutation,brake_dist,,0,1,1,3,1,1,15.0,40.0,15.0,55.0,2,566,27.77463150024414,0.586074754243631,,out_of_road
61,fresh,6,fresh,,,0,1,1,18,0,1,10.0,40.0,5.0,55.0,1,338,3.0491867065429688,0.3036433469129385,,out_of_road
62,mutation,4,mutation,cluster_dist,,1,1,0,8,1,0,5.0,5.0,5.0,20.0,3,427,14.21159553527832,0.48080417546563603,,out_of_road
63,fresh,3,fresh,,,0,1,1,5,1,1,10.0,20.0,10.0,55.0,1,168,2.112555503845215,0.29474346593598877,,crash_vehicle
64,crossover,6,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars|has_cluster,5,0,0,18,1,1,10.0,5.0,15.0,20.0,2,56,-0.007069587707519531,0.40603005779641016,,crash_vehicle
65,fresh,3,fresh,,,0,0,0,5,0,0,15.0,10.0,10.0,20.0,2,225,4.175962448120117,0.29112838139964475,,out_of_road
66,replay,3,replay,,,0,0,0,5,0,0,15.0,10.0,10.0,20.0,2,333,14.65005111694336,0.714157092812899,,crash_vehicle
67,fresh,3,fresh,,,0,0,0,4,1,1,10.0,10.0,15.0,20.0,1,1000,15.716440200805664,0.3807768094837666,,max_step
68,mutation,2,mutation,distance_to_nearest,,1,0,0,3,1,0,20.0,10.0,5.0,20.0,2,360,1.7755823135375977,0.22751491043406227,,out_of_road
69,fresh,6,fresh,,,0,1,0,18,0,0,5.0,5.0,10.0,10.0,0,52,-0.5453701019287109,0.0984162321457496,,crash_vehicle
70,crossover,6,crossover,,select_lane|ego_on_intersection|intersection_has_cars|distractor_cars|intersection_cars|has_cluster|cluster_dist,2,0,0,18,1,1,20.0,10.0,15.0,35.0,2,61,1.125089168548584,0.5399079547553766,,out_of_road
71,fresh,3,fresh,,,0,1,0,4,0,1,10.0,20.0,5.0,55.0,3,48,3.51224422454834,0.8464906693746647,,out_of_road
72,mutation,2,mutation,cluster_dist,,1,0,0,3,1,0,20.0,10.0,10.0,20.0,2,279,20.137451171875,1.074211539867531,,out_of_road
73,fresh,5,fresh,,,0,1,0,12,1,0,5.0,40.0,5.0,55.0,2,2,10.0,8.75529956817627,,arrive_dest
74,crossover,5,crossover,,distractor_cars|has_brake_checker|intersection_cars|maximum_distractor_speed|distance_to_nearest|cluster_dist|brake_dist,4,0,0,12,1,0,5.0,40.0,5.0,55.0,2,105,-0.36837005615234375,0.2839844094855445,,out_of_road
75,fresh,4,fresh,,,0,0,0,8,1,0,10.0,40.0,10.0,55.0,1,367,15.749689102172852,0.7508877673483269,,out_of_road
76,replay,4,replay,,,0,0,0,8,1,0,10.0,40.0,10.0,55.0,1,107,0.38770627975463867,0.3532253196724107,,out_of_road
77,fresh,2,fresh,,,0,1,0,3,1,1,10.0,40.0,5.0,55.0,2,165,7.381239891052246,0.8606026910019643,,out_of_road
78,mutation,0,mutation,intersection_cars,,0,0,0,1,1,1,20.0,20.0,15.0,35.0,1,90,4.300116539001465,0.7322507345014149,,out_of_road
79,fresh,4,fresh,,,0,0,0,8,0,0,5.0,5.0,10.0,20.0,0,120,5.95667839050293,0.6385197019825379,,out_of_road
